[Start Region 1]	Cost	Unique	Keywords	Effect	License
Empty	0	-	-	-	-
Personalizations	1	Yes	-	When you take this mod, your mech gains +2 HP and you may establish with your GM 1 minor effect or modification you have made to your mech. This mod cannot grant any statistical or combat benefit to your mech other than the hp benefit, but could provide other useful effects. If your GM agrees that this mod would help you with a particular skill check, they can give you +1 Accuracy on the check.	GMS
Stable Structure	1	Yes	-	Attempts to knock you prone are made with +1 Difficulty, and you make rolls to resist getting knocked prone with +1 Accuracy	GMS
Manipulators	1	Yes	-	Gain 2 extra sets of limbs. These limbs cannot be used to make attacks, but can otherwise hold and manipulate the environment and items as normal. In addition, these manipulators can interact with objects in the environment that a pilot would normally have to interact with (a pilot sized touch pad, etc) with no penalty.	GMS
Custom Paint Job	1	Yes	-	Each time you lose your first point of structure, you can roll twice for your critical check and choose either result.	GMS
GMS Pattern-A “Apple” High Explosive Grenades	1	-	Limited (2),  Grenade, Range 5, Blast 2	Targets caught in the blast must pass an agility check or take 1d6 explosive damage.	GMS
GMS Pattern-A “Jericho” Deployable Cover	2	-	Deployable, Quick Action	Using this system creates a Line 4 section of Light Cover adjacent to the user (in any orientation, as long as there is free space). Requires a full action to pick up. Reusable. The cover has 5 Evasion, 40 HP, and can be targeted and destroyed. A mech can spend 1 repair during a rest to repair it to full HP.	GMS
GMS “Pancake” Anti-Vehicular Mines	1	-	Limited (3), Mine	This mine detonates when any target moves adjacent to it for a burst 1 attack, 1d6+3 explosive damage. A target can pass an agility check to halve this damage.	GMS
GMS Pattern-A “Filter” Smoke Grenade	1	-	Limited (3), Grenade, Range 5, Blast 3	The blast area grants light cover to all within, friend or foe. Lasts until the end of the user’s next turn, then disperses.	GMS
Companion/Concierge-Class Dummy Plug	2	Yes	AI	Your mech has a basic companion/concierge unit installed in it. It can speak to you and has a personality but is not truly capable of independent thought, as a true AI would be. It is obedient to you alone. It can take actions and move on its own prerogative when not piloted, using its stats, but has no independent initiative (it must take and follow commands from you, or else takes no action other than to defend itself). It is controlled by the GM and gains its own set of actions (but acts on your turn), and cannot benefit from any of your talents. Dummy Plugs are not true AIs and thus cannot be unshackled.	GMS
GMS Shield Type-I	2	Yes	Shield, Protocol, 1 heat (self)	You can choose to activate this shield protocol at the start of your turn. Nominate an enemy you can see. All that enemy’s ranged or melee attacks against you are made at +2 difficulty until the start of your next turn, but your ranged or melee attacks against them also suffer the same penalty.	GMS
GMS Shield Type-II	3	Yes	Shield, Protocol, 3 heat (self)	You can choose to activate this shield protocol at the start of your turn. Nominate up to two enemies you can see. All those enemy’s ranged or melee attacks against you are made at +2 difficulty until the start of your next turn, but your ranged or melee weapon attacks against them also suffer the same penalty.	GMS
GMS EVA Module	1	Yes	-	Your mech counts as having a propulsion system in micro/null gravity and submarine environments (it's not crippled while moving and can fly normally).	GMS
GMS 'Burst' Jump Jet System	2	Yes	-	When your mech boosts, your mech can instead fly. However, your mech must end its turn on the ground or another surface, or else fall.	GMS
GMS Type 1 Flight System	3	Yes	-	When your mech moves or boosts, it can fly. However, at the end of each turn that you activated this module, generate heat equal to the size of your mech +1, rounding up.	GMS
Aegis Shield Generator	1	Yes	Limited (1), Shield, Deployable, Quick Action	Once planted in a free adjacent space, this size 1 generator creates a burst 1 zone around it until the end of the current challenge. Inside the zone, all allied targets count as having 4 armor, even if their armor is less. The generator has 10 HP but benefits from its own armor bonus, and deactivates once used up.	IPS-N Drake II
"""BASTION"" Siege Scales"	2	Yes	Protocol	When activated as a free action at the start of your tun, until the start of your next turn, your mech is immobilized, but you both count as in light cover, even out in the open, and provide light cover for allied mechs. You additionally gain resistance to all damage from blast, line, and cone attacks.	IPS-N Drake II
Portable Bunker	2	-	Limited (2), Deployable, Quick Action	To activate this system, choose a clear 4x4 space adjacent to you and take a quick action. At the start of your next turn, this system unfolds into a fortified emplacement that grants heavy cover to anyone within the area from all directions, as long as they are fully covered by the area. The bunker is open topped and can be entered and exited at will. If attacked the bunker has evasion 5, 30 HP, and 3 armor. It cannot be moved or deactivated once deployed.	IPS-N Drake III
Synthetic Muscle Netting	1	Yes	-	When grappling, you always count as the same size as your opponent if your opponent is larger than you, and larger than your opponent if they are the same size or smaller. Your lifting and dragging capacity doubles.	IPS-N Blackbeard I
Lock/Kill Subsystem	1	Yes	-	You can now boost and take reactions while grappling. Targets grappled by you gain +1 difficulty to attempt to escape your grapples.	IPS-N Blackbeard III
SEKHMET-class NHP	3	Yes	AI	Your mech gains the AI property. In addition, gain the SEKHMET protocol: Protocol All melee critical hits do +1d6 bonus damage. You can make a skirmish action as a free action at any point during your turn. This action can be made even if you already took the skirmish action, and you can still take the skirmish action if you made this free action While active, your mech automatically uses its movement to move towards the nearest target, friend or foe, and attempts to engage in melee combat, using all available actions to do so. If you end your turn while not in reach of a target (friend or foe), you become Impaired until you are. To end this protocol, you must pass a successful engineering check at the start of your turn. Otherwise, this protocol will continue until your mech is destroyed. Death or incapacitation of the pilot will not stop it.	IPS-N Blackbeard III
Throughbolt Rounds	1	-	Ammo	Choose 1 CQB, cannon, or rifle weapon. When you fire this weapon, draw a line 3 spaces long from your mech, then measure its original range from the end of this line as though the attack was fired from that position (also measure cover from this new position for the rest of the attack). This line can easily punch through walls or other barriers. Any targets hit by this line are also hit by the attack (ignoring cover). The attack cannot change directions after being fired.	IPS-N Tortuga II
Hyper Dense Armor	3	Yes	Protocol	You may activate or deactivate this armor system’s activation protocols at the start of your turn. While active, it hardens into a shimmering, reflective surface and offers unparalleled protection, granting you resistance to all damage from attacks further away from range 5 of your mech. However, your mech is crippled while it is active. 	IPS-N Tortuga III
Bulwark Mods	2	-	-	Your mech has extended or armored arms or legs, redundant motor systems, or is otherwise reinforced for harsh terrain. Your mech ignores difficult terrain, and you can re-roll failed dangerous terrain checks. You must accept the second result.	IPS-N Nelson I
Armor Lock System	1	Yes	-	When you take the Brace reaction, until the end of your following turn, enemy attacks targeting you are made with 1 additional Difficulty, you can’t fail agility or hull checks, be knocked back, grappled, knocked prone, or moved by any external force smaller than size 5.	IPS-N Nelson II
Thermal Charge	2	-	Mod, Limited (1)	This mod can only be applied to a melee weapon. As a free action, you may activate the shaped charge on your weapon to do +2d6 explosive damage on a successful hit.	IPS-N Nelson II
Adaptive Armor	2	Yes	Reaction	Once per round, when you take damage, you can gain 4 armor against the triggering attack as a reaction. This armor can put you over the maximum, but works against the triggering attack only, and is then lost.	IPS-N Nelson III
Restock Drone	2	-	Limited (2), Drone	As a quick action, you can set this drone down in any adjacent space. After your turn ends, the drone primes. Any allied mech that moves adjacent to the drone can activate it as an interaction. That mech can then cool 1d6 heat, reload all weapons with the loading tag, and gain 2d6 + your engineering in hit points. The drone is then consumed, deactivating and disintegrating.	IPS-N Lancaster I
Cable Winch System	1	-	Quick Action	As a quick action, you can attach the cables to an adjacent mech. If the mech is shut down, stunned, or a willing target, this action is automatically successful, otherwise it can make a hull check to resist this effect. Once attached, your mech and the attached mech cannot move more than 5 range away from each other. One mech can tow the other, but is crippled while doing so, and must successfully pass a hull check to do so. Any mech can take an action and make a successful hull check or melee or improvised attack to remove the cables (removed on a hit, the cables have evasion 10). The cables can also be attached to the environment or any object. They are 10 length when used this way and can take a combined size of 6 in strain if using them to climb, etc, before they break.	IPS-N Lancaster I
Ablative Shielding	1	-	Shield, Protocol	While this system is active, gain resistance to energy damage, but take 1 heat when you take damage.	IPS-N Lancaster II
Repair Drone Nexus	2	-	Drone, Full Action, Sensor Range	When you use these drones, choose one, two, or three target mechs within your sensor range. If you chose one mech, it can heal 2d6 + your engineering score in HP, if you chose two mechs, they can both heal 1d6+ engi HP. If you chose 3, make an engineering skill check. On success, each of them can heal 1d6+ engi HP, on failure, only one of them can heal.	IPS-N Lancaster II
Aceso Swarm	3	Yes	Drone, Sensor Range	As an end of round action, your mech takes 2 heat, and one other mech of your choice in your sensor range can spend 1 repair to heal.	IPS-N Lancaster III
Snub Barrel Mod	1	-	Mod	Choose 1 rifle, cannon, or CQB weapon. The weapon becomes cone (3) range or cone (+1) if it already has a cone attack pattern.	IPS-N Vlad I
Over-Penetrating Mod	1	-	Mod	Choose 1 rifle, launcher, or cannon weapon. Its range becomes line (5).	IPS-N Vlad II
Charged Stake	2	-	Full Action	This brutal system can be used against any adjacent target. That target must pass an hull check with 1 difficulty or take 2d6 energy damage damage and become immobilized and impaled. At the end of each of its turns, the target can repeat this check to end the effect on itself, otherwise it takes 3 AP energy damage and remains immobilized until it makes the check successfully. Only one target can be immobilized by this system at once, but it can be re-used and picked up as an quick action.	IPS-N Vlad III
Breaching Charge	1	-	Limited (3), Grenade, Mine	If thrown as a quick action, the charge explodes on impact. If planted as a mine, it can be detonated as another quick action by whoever planted it (or detonates normally when a target moves adjacent). The charge deals 2d6 Energy damage to targets in a burst 1 area around the charge. Targets can pass an agility check to reduce this damage by half. This charge deals double damage to objects and gains the AP tag against objects.	IPS-N Raleigh I
Impact Shielding	3	Yes	Protocol	While this system is active, gain resistance to kinetic damage, but take 1 heat when you take damage.	IPS-N Raleigh II
UNCLE-class NHP	3	Yes	-	Choose 1 weapon - The weapon and its associate systems gain an NHP that has control over that specific weapon. This is not a full AI and can’t control your mech or become unshackled (and doesn’t have the AI tag). The weapon gains the unreliable tag (if this tag triggers, it is because the weapon’s personality is not cooperating). It can attack by itself once on your turn as a free action, using the mech’s targeting but with +1 Difficulty. It can’t fire a weapon that has already been fired this turn.	IPS-N Raleigh III
Scout Drone Nexus	2	-	Drone, Quick Action	When you use this system, you can deploy your drone to an area in sensor range. The drone then emits a burst 2 area around it that grants the following benefits: Gain perfect vision of that area until the end of your next turn. Hostile targets that end their turn in the area immediately lose invisibility or hiding. Reveal current HP and heat levels of targets in that area The drone can be attacked and targeted as normal, but it is also permanently invisible. It can be recalled or redeployed by taking this action again.	SSC Swallowtail I
Low Profile	2	Yes	Protocol	Your mech can retract its major systems to reduce its profile. You can activate this protocol at the start of your turn. While active: - Rolls to find your mech while hidden are made at +1 Difficulty - All ranged and tech attacks against you are made at +1 Difficulty - Your mech cannot take the Boost action or make ranged, melee, or tech attacks	SSC Swallowtail II
ATHENA-class NHP	3	Yes	AI	Your mech gains the AI property and gains the ATHENA protocol: ATHENA protocol Quick Action 3 heat (self). Choose a blast 4 area within 1 mile of you. Your AI constructs a perfect, real-time, 3d model of this are that you can rotate and interact with, including actors that move in and out of that area, and extreme detail. Moving the area requires activating this protocol again, but it lasts until the end of the current challenge (or about 10 minutes in narrative time). Your mech gains perfect line of sight in this area and can relay this to allies, letting any attacks from yourself or allies in the area ignore light and heavy cover. Hostile targets that end their turn in this area lose invisibility or hiding, and you can see the current heat and HP levels of all targets in the area.	SSC Swallowtail III
Cloaking Field	4	-	2 heat (self), Quick Action	You can activate or deactivate the light bending properties of this module as a quick action. It lasts until the end your next turn. When you activate this module, your mech and all allied targets within a burst 3 area centered on you become invisible while they remain in the area. This area moves when you move, and remains centered on you. If you make an overheating check or take damage, this module immediately becomes inactive.	SSC Swallowtail III
Companion Gun	2	Yes	-	Whenever you score a critical hit against a target, this shoulder-mounted gun can calibrate and rapidly fires a projectile that also deals 2 explosive damage to a different target within range 5 of your primary target, no attack roll required (as long as the target is in line of sight)	SSC Monarch I
Stabilizer Weapon Mod	1	-	Mod	Choose 1 launcher or cannon weapon. Increase its base range by 5.	SSC Monarch II
TLALOC-class NHP	3	Yes	AI	Your mech gains the AI property and the TLALOC protocol. TLALOC protocol Protocol 2 heat (self). Your mech is capable of rapidly firing and re-targeting your weapons, far faster than you can think. When you activate this protocol, your mech is immobilized until the start of your next turn, but if you miss any weapon attack, you can immediately re-roll the attack as long as you target a different target in range or area of effect (if the attack was blast, line, or cone). You can take this re-roll only once for each attack (if the second attack misses you don’t get to keep making it), and a target already hit by this attack (from a re-roll or otherwise) cannot be targeted again.	SSC Monarch III
Exposed Singularity	2	Yes	Reaction	Once per round, when your mech takes damage, you can immediately teleport up to 1d6 spaces as a reaction in a direction of your choosing (though if this teleport would put you inside an obstacle or other mech you take damage as normal and the teleport fails).	SSC Mourning Cloak II
Hunter Cloak	2	Yes	Quick Tech	Gain the following quick tech option: Hunt: Choose a target in your sensor range. Your systems infect the target with a viral logic that wipes your image from their sensors. Until you are damaged by that target, they count you as invisible. This system can only affect one target at a time (other targets still count you as visible and can see you normally).	SSC Mourning Cloak II
FADE Cloak	2	-	Quick Action	When activated, you go out of phase with reality. You can ignore obstructions such as walls or cover, and pass through enemy mechs and solid objects as if they weren't there, but cannot end your turn in their space. You cannot interact with the world, but neither can it interact with you (in terms of damage, etc). If you are forced to return to normal space inside an object, instead take 2d6 AP Kinetic damage and return in the nearest available space. While this system is active, at the start of your turn roll a d6; on 4+ you remain out of phase, on a 3+ you return to the battlefield until the start of your next turn. This drive deactivates if you make an overheating check, deactivate it at the start of your turn as a free action, or rest.	SSC Mourning Cloak III
Hi-Stress Mag Clamps	1	Yes	-	Choose one ranged weapon. You can fire a tracer round from it instead of a normal shot. It deals 0 damage maximum, but on a hit, your next attack roll against the same target gains +2 Accuracy and ignores invisibility.	SSC Death's Head I
Tracking Drone	1	-	Quick Tech	Gain the following quick tech action: Tracking Drone: Make a tech attack against a target in your sensor range. On a hit, you know the target’s exact location, HP, Structure, Heat, and speed, and it cannot hide or benefit from invisibility from you until the drone is removed from them. It takes a quick action and a successful engineering check from the targeted mech to remove a tracking drone.	SSC Death's Head I
Veil Generator	1	-	Limited (1), Deployable, Quick Action	Once deployed in a free adjacent space as a quick action, this size 1 generator creates a weak cloaking field. It creates a burst 3 zone around in until the end of the current challenge. This zone doesn’t move, but allied mechs inside count as in light cover and are immune to all tech actions (even friendly ones). Once deployed, this generator continues to run until out of charge and cannot be re-used or re-deployed. It benefits from its own field and has 2 armor.	SSC Death's Head II
Kinetic Compensator	2	Yes	-	When you miss with any ranged attack roll, your next ranged attack roll gains +1 Accuracy	SSC Death's Head III
Core Siphon	2	Yes	-	At the beginning of your turn, you can give the first attack roll of your turn +1 accuracy. If you do, any additional attack rolls until the end of your turn gain +1 difficulty.	SSC Dusk Wing I
SSC Neurospike Mk1	2	Yes	Quick Tech	"Gain the following quick tech choices: Shrike Code: Make a tech attack against a target in your sensor range with +1 difficulty. On hit, until the end of your next turn, each time your target makes an attack roll, it first takes 1 heat.
Mirage: Make a tech attack against a target in your sensor range. On hit, choose yourself or a friendly mech you can see. Your target’s systems relay illusory duplicates of that mech that confuse your target’s systems. That friendly mech (or your mech) counts as invisible to your target until the end of your next turn."	SSC Dusk Wing II
StunCrown	2	-	Limited (2), Quick Action	All hostile targets in a burst 10 area centered on your mech that can see your mech must pass an agility check or become Jammed, and a systems check or become Impaired. Both effects last until the start of your next turn. Allied mechs are not affected.	SSC Dusk Wing III
Flicker Field	1	Yes	-	When you move or boost, you project a holographic pattern around your mech that leaves dazzling afterimages, making it hard to discern your mech’s location. After moving or boosting you count as having invisibility against the very next attack roll against you. The field disperses after this attack, hit or miss. You can only gain the effect of this field once (you can’t ‘stack’ up several instances of it).	SSC Dusk Wing III
Shock Wreath	2	-	Mod	Choose 1 melee weapon. It gains Burn depending on its size (Aux 1, Main 2, Heavy or larger: 3). If it already has Burn, increase the burn it deals by the same amount.	SSC Metalmark I
Reactive Weave	1	Yes	-	When you Brace, your mech can immediately move its speed as a reaction and also gains invisibility until the end of its next turn.	SSC Metalmark I
Armor-Piercing Mod	2	-	Mod	Choose one ranged or melee weapon. It gains the AP tag.	SSC Metalmark II
Active Camo	2	Yes	2 heat (self), Protocol	You can activate or deactivate the light bending properties of this module at the start of your turn. It lasts until the start of your next turn. While this module is active, you are invisible. If you take damage or make an overheating roll, this module deactivates.	SSC Metalmark III
Ferrous Lash	2	-	Quick Action	A target of your choice in Range 10 must pass an agility check with 1 difficulty. On a failure, it is pulled 5 in a direction of your choice. This movement must obey obstructions, terrain, etc, but doesn't provoke reactions and ignores engagement. If it collides with an obstacle or another mech, it is additionally knocked prone.	SSC Black Witch I
